r,m=0,m=1,m=2,m=3,m=4,m=5,m=6,m=7,m=8,m=9,m=10,m=11,m=12,m=13,m=14,m=15,m=16,m=17,m=18,m=19,m=20,m=21,m=22,m=23,m=24,m=25,m=26,m=27,m=28,m=29,m=30,m=31,m=32,m=33,m=34,m=35,m=36,m=37,m=38,m=39,m=40,m=41,m=42,m=43,m=44,m=45,m=46,m=47,m=48,m=49,m=50,m=51,m=52,m=53,m=54,m=55,m=56,m=57,m=58,m=59,m=60,m=61,m=62,m=63,m=64,m=65,m=66,m=67,m=68,m=69,m=70,m=71,m=72,m=73,m=74,m=75,m=76,m=77,m=78,m=79,m=80,m=81,m=82,m=83,m=84,m=85,m=86,m=87,m=88,m=89,m=90,m=91,m=92,m=93,m=94,m=95,m=96,m=97,m=98,m=99
1,3,7,11,15,19,23,27,31,35,39,43,47,51,55,59,63,67,71,75,79,83,87,91,95,99,103,107,111,115,119,123,127,131,135,139,143,147,151,155,159,163,167,171,175,179,183,187,191,195,199,203,207,211,215,219,223,227,231,235,239,243,247,251,255,259,263,267,271,275,279,283,287,291,295,299,303,307,311,315,319,323,327,331,335,339,343,347,351,355,359,363,367,371,375,379,383,387,391,395,399
2,1,9,17,25,33,41,49,57,65,73,81,89,97,105,113,121,129,137,145,153,161,169,177,185,193,201,209,217,225,233,241,249,257,265,273,281,289,297,305,313,321,329,337,345,353,361,369,377,385,393,401,409,417,425,433,441,449,457,465,473,481,489,497,505,513,521,529,537,545,553,561,569,577,585,593,601,609,617,625,633,641,649,657,665,673,681,689,697,705,713,721,729,737,745,753,761,769,777,785,793
3,5,21,37,53,69,85,101,117,133,149,165,181,197,213,229,245,261,277,293,309,325,341,357,373,389,405,421,437,453,469,485,501,517,533,549,565,581,597,613,629,645,661,677,693,709,725,741,757,773,789,805,821,837,853,869,885,901,917,933,949,965,981,997,1013,1029,1045,1061,1077,1093,1109,1125,1141,1157,1173,1189,1205,1221,1237,1253,1269,1285,1301,1317,1333,1349,1365,1381,1397,1413,1429,1445,1461,1477,1493,1509,1525,1541,1557,1573,1589
4,13,45,77,109,141,173,205,237,269,301,333,365,397,429,461,493,525,557,589,621,653,685,717,749,781,813,845,877,909,941,973,1005,1037,1069,1101,1133,1165,1197,1229,1261,1293,1325,1357,1389,1421,1453,1485,1517,1549,1581,1613,1645,1677,1709,1741,1773,1805,1837,1869,1901,1933,1965,1997,2029,2061,2093,2125,2157,2189,2221,2253,2285,2317,2349,2381,2413,2445,2477,2509,2541,2573,2605,2637,2669,2701,2733,2765,2797,2829,2861,2893,2925,2957,2989,3021,3053,3085,3117,3149,3181
5,61,125,189,253,317,381,445,509,573,637,701,765,829,893,957,1021,1085,1149,1213,1277,1341,1405,1469,1533,1597,1661,1725,1789,1853,1917,1981,2045,2109,2173,2237,2301,2365,2429,2493,2557,2621,2685,2749,2813,2877,2941,3005,3069,3133,3197,3261,3325,3389,3453,3517,3581,3645,3709,3773,3837,3901,3965,4029,4093,4157,4221,4285,4349,4413,4477,4541,4605,4669,4733,4797,4861,4925,4989,5053,5117,5181,5245,5309,5373,5437,5501,5565,5629,5693,5757,5821,5885,5949,6013,6077,6141,6205,6269,6333,6397
6,29,157,285,413,541,669,797,925,1053,1181,1309,1437,1565,1693,1821,1949,2077,2205,2333,2461,2589,2717,2845,2973,3101,3229,3357,3485,3613,3741,3869,3997,4125,4253,4381,4509,4637,4765,4893,5021,5149,5277,5405,5533,5661,5789,5917,6045,6173,6301,6429,6557,6685,6813,6941,7069,7197,7325,7453,7581,7709,7837,7965,8093,8221,8349,8477,8605,8733,8861,8989,9117,9245,9373,9501,9629,9757,9885,10013,10141,10269,10397,10525,10653,10781,10909,11037,11165,11293,11421,11549,11677,11805,11933,12061,12189,12317,12445,12573,12701
7,221,477,733,989,1245,1501,1757,2013,2269,2525,2781,3037,3293,3549,3805,4061,4317,4573,4829,5085,5341,5597,5853,6109,6365,6621,6877,7133,7389,7645,7901,8157,8413,8669,8925,9181,9437,9693,9949,10205,10461,10717,10973,11229,11485,11741,11997,12253,12509,12765,13021,13277,13533,13789,14045,14301,14557,14813,15069,15325,15581,15837,16093,16349,16605,16861,17117,17373,17629,17885,18141,18397,18653,18909,19165,19421,19677,19933,20189,20445,20701,20957,21213,21469,21725,21981,22237,22493,22749,23005,23261,23517,23773,24029,24285,24541,24797,25053,25309,25565
8,349,861,1373,1885,2397,2909,3421,3933,4445,4957,5469,5981,6493,7005,7517,8029,8541,9053,9565,10077,10589,11101,11613,12125,12637,13149,13661,14173,14685,15197,15709,16221,16733,17245,17757,18269,18781,19293,19805,20317,20829,21341,21853,22365,22877,23389,23901,24413,24925,25437,25949,26461,26973,27485,27997,28509,29021,29533,30045,30557,31069,31581,32093,32605,33117,33629,34141,34653,35165,35677,36189,36701,37213,37725,38237,38749,39261,39773,40285,40797,41309,41821,42333,42845,43357,43869,44381,44893,45405,45917,46429,46941,47453,47965,48477,48989,49501,50013,50525,51037
9,605,1629,2653,3677,4701,5725,6749,7773,8797,9821,10845,11869,12893,13917,14941,15965,16989,18013,19037,20061,21085,22109,23133,24157,25181,26205,27229,28253,29277,30301,31325,32349,33373,34397,35421,36445,37469,38493,39517,40541,41565,42589,43613,44637,45661,46685,47709,48733,49757,50781,51805,52829,53853,54877,55901,56925,57949,58973,59997,61021,62045,63069,64093,65117,66141,67165,68189,69213,70237,71261,72285,73309,74333,75357,76381,77405,78429,79453,80477,81501,82525,83549,84573,85597,86621,87645,88669,89693,90717,91741,92765,93789,94813,95837,96861,97885,98909,99933,100957,101981
10,93,2141,4189,6237,8285,10333,12381,14429,16477,18525,20573,22621,24669,26717,28765,30813,32861,34909,36957,39005,41053,43101,45149,47197,49245,51293,53341,55389,57437,59485,61533,63581,65629,67677,69725,71773,73821,75869,77917,79965,82013,84061,86109,88157,90205,92253,94301,96349,98397,100445,102493,104541,106589,108637,110685,112733,114781,116829,118877,120925,122973,125021,127069,129117,131165,133213,135261,137309,139357,141405,143453,145501,147549,149597,151645,153693,155741,157789,159837,161885,163933,165981,168029,170077,172125,174173,176221,178269,180317,182365,184413,186461,188509,190557,192605,194653,196701,198749,200797,202845
11,3165,7261,11357,15453,19549,23645,27741,31837,35933,40029,44125,48221,52317,56413,60509,64605,68701,72797,76893,80989,85085,89181,93277,97373,101469,105565,109661,113757,117853,121949,126045,130141,134237,138333,142429,146525,150621,154717,158813,162909,167005,171101,175197,179293,183389,187485,191581,195677,199773,203869,207965,212061,216157,220253,224349,228445,232541,236637,240733,244829,248925,253021,257117,261213,265309,269405,273501,277597,281693,285789,289885,293981,298077,302173,306269,310365,314461,318557,322653,326749,330845,334941,339037,343133,347229,351325,355421,359517,363613,367709,371805,375901,379997,384093,388189,392285,396381,400477,404573,408669
12,1117,9309,17501,25693,33885,42077,50269,58461,66653,74845,83037,91229,99421,107613,115805,123997,132189,140381,148573,156765,164957,173149,181341,189533,197725,205917,214109,222301,230493,238685,246877,255069,263261,271453,279645,287837,296029,304221,312413,320605,328797,336989,345181,353373,361565,369757,377949,386141,394333,402525,410717,418909,427101,435293,443485,451677,459869,468061,476253,484445,492637,500829,509021,517213,525405,533597,541789,549981,558173,566365,574557,582749,590941,599133,607325,615517,623709,631901,640093,648285,656477,664669,672861,681053,689245,697437,705629,713821,722013,730205,738397,746589,754781,762973,771165,779357,787549,795741,803933,812125
13,5213,21597,37981,54365,70749,87133,103517,119901,136285,152669,169053,185437,201821,218205,234589,250973,267357,283741,300125,316509,332893,349277,365661,382045,398429,414813,431197,447581,463965,480349,496733,513117,529501,545885,562269,578653,595037,611421,627805,644189,660573,676957,693341,709725,726109,742493,758877,775261,791645,808029,824413,840797,857181,873565,889949,906333,922717,939101,955485,971869,988253,1004637,1021021,1037405,1053789,1070173,1086557,1102941,1119325,1135709,1152093,1168477,1184861,1201245,1217629,1234013,1250397,1266781,1283165,1299549,1315933,1332317,1348701,1365085,1381469,1397853,1414237,1430621,1447005,1463389,1479773,1496157,1512541,1528925,1545309,1561693,1578077,1594461,1610845,1627229
14,13405,46173,78941,111709,144477,177245,210013,242781,275549,308317,341085,373853,406621,439389,472157,504925,537693,570461,603229,635997,668765,701533,734301,767069,799837,832605,865373,898141,930909,963677,996445,1029213,1061981,1094749,1127517,1160285,1193053,1225821,1258589,1291357,1324125,1356893,1389661,1422429,1455197,1487965,1520733,1553501,1586269,1619037,1651805,1684573,1717341,1750109,1782877,1815645,1848413,1881181,1913949,1946717,1979485,2012253,2045021,2077789,2110557,2143325,2176093,2208861,2241629,2274397,2307165,2339933,2372701,2405469,2438237,2471005,2503773,2536541,2569309,2602077,2634845,2667613,2700381,2733149,2765917,2798685,2831453,2864221,2896989,2929757,2962525,2995293,3028061,3060829,3093597,3126365,3159133,3191901,3224669,3257437
15,62557,128093,193629,259165,324701,390237,455773,521309,586845,652381,717917,783453,848989,914525,980061,1045597,1111133,1176669,1242205,1307741,1373277,1438813,1504349,1569885,1635421,1700957,1766493,1832029,1897565,1963101,2028637,2094173,2159709,2225245,2290781,2356317,2421853,2487389,2552925,2618461,2683997,2749533,2815069,2880605,2946141,3011677,3077213,3142749,3208285,3273821,3339357,3404893,3470429,3535965,3601501,3667037,3732573,3798109,3863645,3929181,3994717,4060253,4125789,4191325,4256861,4322397,4387933,4453469,4519005,4584541,4650077,4715613,4781149,4846685,4912221,4977757,5043293,5108829,5174365,5239901,5305437,5370973,5436509,5502045,5567581,5633117,5698653,5764189,5829725,5895261,5960797,6026333,6091869,6157405,6222941,6288477,6354013,6419549,6485085,6550621
16,29789,160861,291933,423005,554077,685149,816221,947293,1078365,1209437,1340509,1471581,1602653,1733725,1864797,1995869,2126941,2258013,2389085,2520157,2651229,2782301,2913373,3044445,3175517,3306589,3437661,3568733,3699805,3830877,3961949,4093021,4224093,4355165,4486237,4617309,4748381,4879453,5010525,5141597,5272669,5403741,5534813,5665885,5796957,5928029,6059101,6190173,6321245,6452317,6583389,6714461,6845533,6976605,7107677,7238749,7369821,7500893,7631965,7763037,7894109,8025181,8156253,8287325,8418397,8549469,8680541,8811613,8942685,9073757,9204829,9335901,9466973,9598045,9729117,9860189,9991261,10122333,10253405,10384477,10515549,10646621,10777693,10908765,11039837,11170909,11301981,11433053,11564125,11695197,11826269,11957341,12088413,12219485,12350557,12481629,12612701,12743773,12874845,13005917
17,226397,488541,750685,1012829,1274973,1537117,1799261,2061405,2323549,2585693,2847837,3109981,3372125,3634269,3896413,4158557,4420701,4682845,4944989,5207133,5469277,5731421,5993565,6255709,6517853,6779997,7042141,7304285,7566429,7828573,8090717,8352861,8615005,8877149,9139293,9401437,9663581,9925725,10187869,10450013,10712157,10974301,11236445,11498589,11760733,12022877,12285021,12547165,12809309,13071453,13333597,13595741,13857885,14120029,14382173,14644317,14906461,15168605,15430749,15692893,15955037,16217181,16479325,16741469,17003613,17265757,17527901,17790045,18052189,18314333,18576477,18838621,19100765,19362909,19625053,19887197,20149341,20411485,20673629,20935773,21197917,21460061,21722205,21984349,22246493,22508637,22770781,23032925,23295069,23557213,23819357,24081501,24343645,24605789,24867933,25130077,25392221,25654365,25916509,26178653
18,357469,881757,1406045,1930333,2454621,2978909,3503197,4027485,4551773,5076061,5600349,6124637,6648925,7173213,7697501,8221789,8746077,9270365,9794653,10318941,10843229,11367517,11891805,12416093,12940381,13464669,13988957,14513245,15037533,15561821,16086109,16610397,17134685,17658973,18183261,18707549,19231837,19756125,20280413,20804701,21328989,21853277,22377565,22901853,23426141,23950429,24474717,24999005,25523293,26047581,26571869,27096157,27620445,28144733,28669021,29193309,29717597,30241885,30766173,31290461,31814749,32339037,32863325,33387613,33911901,34436189,34960477,35484765,36009053,36533341,37057629,37581917,38106205,38630493,39154781,39679069,40203357,40727645,41251933,41776221,42300509,42824797,43349085,43873373,44397661,44921949,45446237,45970525,46494813,47019101,47543389,48067677,48591965,49116253,49640541,50164829,50689117,51213405,51737693,52261981
19,619613,1668189,2716765,3765341,4813917,5862493,6911069,7959645,9008221,10056797,11105373,12153949,13202525,14251101,15299677,16348253,17396829,18445405,19493981,20542557,21591133,22639709,23688285,24736861,25785437,26834013,27882589,28931165,29979741,31028317,32076893,33125469,34174045,35222621,36271197,37319773,38368349,39416925,40465501,41514077,42562653,43611229,44659805,45708381,46756957,47805533,48854109,49902685,50951261,51999837,53048413,54096989,55145565,56194141,57242717,58291293,59339869,60388445,61437021,62485597,63534173,64582749,65631325,66679901,67728477,68777053,69825629,70874205,71922781,72971357,74019933,75068509,76117085,77165661,78214237,79262813,80311389,81359965,82408541,83457117,84505693,85554269,86602845,87651421,88699997,89748573,90797149,91845725,92894301,93942877,94991453,96040029,97088605,98137181,99185757,,,,,
20,95325,2192477,4289629,6386781,8483933,10581085,12678237,14775389,16872541,18969693,21066845,23163997,25261149,27358301,29455453,31552605,33649757,35746909,37844061,39941213,42038365,44135517,46232669,48329821,50426973,52524125,54621277,56718429,58815581,60912733,63009885,65107037,67204189,69301341,71398493,73495645,75592797,77689949,79787101,81884253,83981405,86078557,88175709,90272861,92370013,94467165,96564317,98661469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,3241053,7435357,11629661,15823965,20018269,24212573,28406877,32601181,36795485,40989789,45184093,49378397,53572701,57767005,61961309,66155613,70349917,74544221,78738525,82932829,87127133,91321437,95515741,99710045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1143901,9532509,17921117,26309725,34698333,43086941,51475549,59864157,68252765,76641373,85029981,93418589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,5338205,22115421,38892637,55669853,72447069,89224285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,13726813,47281245,80835677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,64058461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,30504029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,97612893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
